0,Species,genus,devPA,devBiom,Region,RCP,Uncert.,Shift,sd_shift,%Hab.,sd_hab
308,chilomycterus,schoepfii,0.38,0.96,SEUS,85,medium,382.6,231.5,-14,40.4
309,chilomycterus,schoepfii,0.38,0.96,GMEX,26,medium,7.9,6.5,-3.7,5.8
310,chilomycterus,schoepfii,0.38,0.96,GMEX,85,medium,24.2,13.3,-27.6,12
311,chionoecetes,bairdi,0.47,0.31,GOA,26,low,117.7,84.2,18.2,19.8
312,chionoecetes,bairdi,0.47,0.31,GOA,85,low,354.9,154.6,149.5,87.2
313,chionoecetes,opilio,0.62,0.93,East_canada,26,low,96.4,77.4,-18,30
314,chionoecetes,opilio,0.62,0.93,East_canada,85,low,323.5,111.9,-45.6,56.5
315,chionoecetes,opilio,0.76,0.94,EBS,26,low,52.7,36.4,-44.2,44.2
316,chionoecetes,opilio,0.76,0.94,EBS,85,low,135.3,61.2,-96.3,8.7
317,chionoecetes,tanneri,0.63,0.91,GOA,26,medium,527.3,455.7,20.2,39.7
318,chionoecetes,tanneri,0.63,0.91,GOA,85,high,1833.8,437.9,187,116.4
319,chirona,evermanni,0.12,0.86,EBS,26,low,78.8,49.2,-39.5,36.6
320,chirona,evermanni,0.12,0.86,EBS,85,low,211.5,100.5,-93.2,12.7
321,chlamys,islandica,0.4,0.87,East_canada,26,low,129.7,65.2,-15.5,34.3
322,chlamys,islandica,0.4,0.87,East_canada,85,medium,229.2,129.2,-73.4,32.1
323,chlamys,rubida,0.24,0.84,EBS,26,low,102.3,70.5,-14.3,35.3
324,chlamys,rubida,0.24,0.84,EBS,85,low,352.4,100.6,-72.6,44.8
325,chlorophthalmus,agassizi,0.46,0.77,NEUS,26,low,183.3,127.2,34.5,31.5
326,chlorophthalmus,agassizi,0.46,0.77,NEUS,85,low,601.3,246.6,207.5,106.5
327,chloroscombrus,chrysurus,0.57,0.94,SEUS,26,medium,32.3,37.8,84.1,84.2
328,chloroscombrus,chrysurus,0.57,0.94,SEUS,85,low,86.4,60.3,632.1,518.4
329,chloroscombrus,chrysurus,0.57,0.94,GMEX,26,low,19.6,12,2.2,7
330,chloroscombrus,chrysurus,0.57,0.94,GMEX,85,medium,58.5,24.4,18.8,15.8
331,chrysaora,melanaster,0.22,0.18,GOA,26,low,156.7,144.7,21.3,19.3
332,chrysaora,melanaster,0.22,0.18,GOA,85,low,656.9,216.9,74.8,33.2
333,chrysaora,quinquecirrha,0.33,0.87,GMEX,26,medium,66.6,52.6,87.4,100.2
334,chrysaora,quinquecirrha,0.33,0.87,GMEX,85,medium,268.8,193.6,4.8,155.9
335,ciliatocardium,ciliatum,0.19,0.96,EBS,26,medium,41.8,26,-46.9,48.9
336,ciliatocardium,ciliatum,0.19,0.96,EBS,85,medium,110,55.7,-98.9,2.5
337,citharichthys,arctifrons,0.34,0.7,NEUS,26,low,56.4,47.3,44.1,43.4
338,citharichthys,arctifrons,0.34,0.7,NEUS,85,medium,285.7,234.6,164.8,101.6
339,citharichthys,arctifrons,0.34,0.7,GMEX,26,medium,103.3,97.1,-65,24
340,citharichthys,arctifrons,0.34,0.7,GMEX,85,high,151.5,102.2,-99.8,0.2
341,citharichthys,macrops,0.52,0.96,SEUS,26,low,9.7,9.3,5.3,7.1
342,citharichthys,macrops,0.52,0.96,SEUS,85,low,63.9,53.2,16.1,23
343,citharichthys,macrops,0.52,0.96,GMEX,26,low,15.3,12.4,-8.6,9.3
344,citharichthys,macrops,0.52,0.96,GMEX,85,medium,47.3,40.4,-36.9,15.2
345,citharichthys,sordidus,0.66,0.93,West_USA,26,low,236.2,165,37.7,29.1
346,citharichthys,sordidus,0.66,0.93,West_USA,85,low,1147.4,276.6,217.3,76.1
347,citharichthys,spilopterus,0.36,0.97,SEUS,26,low,5.8,3.2,28.1,21.3
348,citharichthys,spilopterus,0.36,0.97,SEUS,85,medium,32.5,31.7,154.3,43.3
349,citharichthys,spilopterus,0.36,0.97,GMEX,26,medium,6.6,3.1,11.5,7.9
350,citharichthys,spilopterus,0.36,0.97,GMEX,85,medium,11.7,6.7,46,10.4
351,clathrina,blanca,0.39,0.96,EBS,26,high,160,130.6,-33,79.6
352,clathrina,blanca,0.39,0.96,EBS,85,medium,290.3,100.6,-98.4,3.7
353,clinopegma,magnum,0.43,0.92,EBS,26,medium,35.6,23.6,-31.9,44.9
354,clinopegma,magnum,0.43,0.92,EBS,85,low,136.9,60.4,-93.9,10.2
355,clupea,harengus,0.3,0.82,East_canada,26,low,94.3,64.6,1.7,17.1
356,clupea,harengus,0.3,0.82,East_canada,85,low,380,144,-12.6,31
357,clupea,pallasii,0.25,0.08,GOA,26,low,203.1,183.1,25.1,22.3
358,clupea,pallasii,0.25,0.08,GOA,85,low,784.2,216.8,118.3,52.6
359,conger,oceanicus,0.22,0.73,SEUS,26,medium,174.4,169.7,15.6,25.8
360,conger,oceanicus,0.22,0.73,SEUS,85,low,906,303.5,242.4,161.9
361,conger,oceanicus,0.22,0.73,GMEX,26,low,50,25.2,-13.3,7.1
362,conger,oceanicus,0.22,0.73,GMEX,85,low,98.3,32.8,-39.6,10
363,coryphaenoides,acrolepis,0.67,0.91,GOA,26,medium,365.5,349,9.6,35.7
364,coryphaenoides,acrolepis,0.67,0.91,GOA,85,low,1497,495.5,309.5,214.6
365,coryphaenoides,cinereus,0.44,0.84,EBS,26,high,528.8,659.8,26.9,36.4
366,coryphaenoides,cinereus,0.44,0.84,EBS,85,medium,2738.7,1198.8,619.6,706.6
367,coryphaenoides,rupestris,0.69,0.89,East_canada,26,medium,152.8,102.7,-1.4,11.8
368,coryphaenoides,rupestris,0.69,0.89,East_canada,85,low,444.6,166.9,-17.6,37
369,cottunculus,microps,0.43,0.89,East_canada,26,low,107.6,82.9,0.8,13.1
370,cottunculus,microps,0.43,0.89,East_canada,85,low,301.1,120.4,-42.1,34
371,crangon,dalli,0.19,0.96,EBS,26,medium,51.2,40.1,-35.6,45.9
372,crangon,dalli,0.19,0.96,EBS,85,low,124.3,47.3,-95.4,7.9
373,crangon,septemspinosa,0.22,0.75,NEUS,26,medium,154.6,153.9,-14.2,17
374,crangon,septemspinosa,0.22,0.75,NEUS,85,medium,760,386.3,-56.5,18
375,cross,papposus,0.32,0.8,East_canada,26,low,194.7,112.7,-1.7,25.4
376,cross,papposus,0.32,0.8,East_canada,85,low,365.3,175.8,-62.3,35.6
377,crossaster,borealis,0.43,0.15,EBS,26,low,50.4,32.3,-16.5,9.9
378,crossaster,borealis,0.43,0.15,EBS,85,low,152.1,57.4,-48.5,8.4
379,crossaster,papposus,0.31,0.82,East_canada,26,high,253.9,269.3,2.1,120.5
380,crossaster,papposus,0.31,0.82,East_canada,85,high,611.2,459.2,-54.1,55.5
381,cryptacanthodes,maculatus,0.27,0.78,NEUS,26,medium,204.8,183.4,5.4,40.6
382,cryptacanthodes,maculatus,0.27,0.78,NEUS,85,high,530.4,364.6,-33.4,110.3
383,cryptonatica,russa,0.27,0.92,EBS,26,low,16.1,9.6,-41.5,35.6
384,cryptonatica,russa,0.27,0.92,EBS,85,low,60.8,31.9,-96.1,6.6
385,ctenodiscus,crispatus,0.21,0.83,East_canada,26,medium,130.1,118.6,-1.9,14.3
386,ctenodiscus,crispatus,0.21,0.83,East_canada,85,low,620.7,295.6,-29.5,35.4
387,ctenodiscus,crispatus,0.33,0.43,EBS,26,high,48.3,75,-44.5,29.9
388,ctenodiscus,crispatus,0.33,0.43,EBS,85,medium,235.4,170,-94.5,5.2
389,cucumaria,fallax,0.24,0.94,EBS,26,low,95.6,86.5,-23.4,75.9
390,cucumaria,fallax,0.24,0.94,EBS,85,low,256.8,78.4,-96.4,7.1
391,cucumaria,frondosa,0.26,0.83,East_canada,26,low,161.9,85.7,1.9,21.1
392,cucumaria,frondosa,0.26,0.83,East_canada,85,medium,504.3,300.4,-34.1,73.3
393,cyanea,capillata,0.24,0.13,GOA,26,low,138.4,120.8,12.2,12.3
394,cyanea,capillata,0.24,0.13,GOA,85,medium,414.1,236.5,17.4,45.6
395,cyclopsetta,chittendeni,0.47,0.91,GMEX,26,medium,3.1,4,40.5,50.5
396,cyclopsetta,chittendeni,0.47,0.91,GMEX,85,medium,6.6,7.1,19.3,88.8
397,cyclopsetta,fimbriata,0.36,0.97,SEUS,26,medium,55.7,70.2,307.5,331.1
398,cyclopsetta,fimbriata,0.36,0.97,SEUS,85,low,301,141.6,8018.5,8177.8
399,cyclopsetta,fimbriata,0.36,0.97,GMEX,26,medium,28.5,30.6,29.5,37.4
400,cyclopsetta,fimbriata,0.36,0.97,GMEX,85,low,155.4,92.3,-21.9,64.4
401,cyclopterus,lumpus,0.29,0.87,East_canada,26,low,83.2,61.3,-18.8,67.6
402,cyclopterus,lumpus,0.29,0.87,East_canada,85,low,213,130.7,-67.2,73
403,cymatogaster,aggregata,0.39,0.95,West_USA,26,low,145.7,105.8,67,55.4
404,cymatogaster,aggregata,0.39,0.95,West_USA,85,low,754.9,301.3,474.5,390.3
405,cynoscion,nothus,0.57,0.87,SEUS,26,medium,23.1,23.4,-2.7,21.2
406,cynoscion,nothus,0.57,0.87,SEUS,85,medium,475.4,377.6,-33.1,72.5
407,cynoscion,regalis,0.5,0.87,SEUS,26,high,141,179.4,-20.3,19
408,cynoscion,regalis,0.5,0.87,SEUS,85,low,826.5,266.1,384,597.6
409,dasyatis,americana,0.31,0.98,SEUS,26,low,19.9,16.5,-0.7,9.6
410,dasyatis,americana,0.31,0.98,SEUS,85,medium,326.5,221.8,31,53.3
411,dasyatis,americana,0.31,0.98,GMEX,26,medium,46.1,51.6,-20,16.1
412,dasyatis,americana,0.31,0.98,GMEX,85,medium,170.5,113.4,-87.9,14.1
413,dasyatis,centroura,0.32,0.96,SEUS,26,low,12.8,10.4,6.4,10.1
414,dasyatis,centroura,0.32,0.96,SEUS,85,medium,347.3,242.8,2.7,34.8
415,dasyatis,centroura,0.32,0.96,GMEX,26,medium,44.4,28.3,-20.5,18.7
416,dasyatis,centroura,0.32,0.96,GMEX,85,medium,132.3,55.3,-85.1,12.5
417,dasyatis,sabina,0.37,0.98,SEUS,26,low,27.2,17.7,-7.2,12.3
418,dasyatis,sabina,0.37,0.98,SEUS,85,high,561.4,482.7,17.1,66.7
419,dasyatis,sabina,0.37,0.98,GMEX,26,medium,18.5,17,-6.5,8.4
420,dasyatis,sabina,0.37,0.98,GMEX,85,medium,56,45.8,-59.8,12.6
421,dasyatis,say,0.49,0.97,SEUS,26,low,26,20.1,-5,8.5
422,dasyatis,say,0.49,0.97,SEUS,85,medium,454.2,254.4,-3.6,36.6
423,dasyatis,say,0.49,0.97,GMEX,26,low,41.7,36.5,-19.3,15.9
424,dasyatis,say,0.49,0.97,GMEX,85,medium,122.8,50.6,-84,13.2
425,dasycottus,setiger,0.28,0.13,GOA,26,low,122.8,80.2,10.1,8.9
426,dasycottus,setiger,0.28,0.13,GOA,85,low,419.1,129.5,46.3,19.5
427,decapterus,macarellus,0.31,0.73,SEUS,26,medium,9.5,6.2,22.8,18.2
428,decapterus,macarellus,0.31,0.73,SEUS,85,medium,33,34.3,222.8,123.5
429,decapterus,macarellus,0.31,0.73,GMEX,26,high,21.4,18.7,35.9,27
430,decapterus,macarellus,0.31,0.73,GMEX,85,medium,42.6,29.1,302.1,104.8
431,decapterus,punctatus,0.28,0.87,SEUS,26,low,13.6,13,2,9.9
432,decapterus,punctatus,0.28,0.87,SEUS,85,low,150.5,101.5,14.7,36.6
433,decapterus,punctatus,0.28,0.87,GMEX,26,high,15.4,13.2,-20.7,12.3
434,decapterus,punctatus,0.28,0.87,GMEX,85,high,46.5,32,-70.5,11.8
435,dichelopandalus,leptocerus,0.37,0.71,NEUS,26,low,30.7,25,25.1,45.9
436,dichelopandalus,leptocerus,0.37,0.71,NEUS,85,medium,327,238.6,-56.7,59.8
437,diplectrum,bivittatum,0.53,0.97,SEUS,26,high,46.5,41.4,98.1,85.7
438,diplectrum,bivittatum,0.53,0.97,SEUS,85,low,197.6,124.1,726.6,932
439,diplectrum,bivittatum,0.53,0.97,GMEX,26,medium,86.9,72.9,28,40.1
440,diplectrum,bivittatum,0.53,0.97,GMEX,85,high,264.4,131.9,-52.3,40.3
441,diplectrum,formosum,0.47,0.94,SEUS,26,medium,37.9,34.8,154.4,125.4
442,diplectrum,formosum,0.47,0.94,SEUS,85,low,201.8,82.1,1902.5,967.6
443,diplectrum,formosum,0.47,0.94,GMEX,26,low,29.1,23.5,34.3,28.8
444,diplectrum,formosum,0.47,0.94,GMEX,85,low,102.1,40.2,128,62.8
445,diplopteraster,multipes,0.2,0.21,GOA,26,low,90.1,63.7,-3.2,7.8
446,diplopteraster,multipes,0.2,0.21,GOA,85,medium,349.1,250.1,6.3,19.7
447,dipsacaster,borealis,0.23,0.77,EBS,26,low,132.2,107.9,-24,24.1
448,dipsacaster,borealis,0.23,0.77,EBS,85,low,479.4,122.6,-83.7,18
449,dipsacaster,eximius,0.32,0.74,West_USA,26,medium,156.4,171.1,28.1,42.7
450,dipsacaster,eximius,0.32,0.74,West_USA,85,medium,755.1,377.2,408.6,236.5
451,dipturus,laevis,0.25,0.89,East_canada,26,high,279.2,428.6,152.8,502.5
452,dipturus,laevis,0.25,0.89,East_canada,85,high,875.6,558.7,-86.8,21.4
453,doryteuthis,opalescens,0.45,0.13,West_USA,26,low,164.9,124.1,40.2,28.8
454,doryteuthis,opalescens,0.45,0.13,West_USA,85,low,749.9,189.3,255.1,139.1
455,doryteuthis,pleii,0.46,0.87,GMEX,26,low,56.8,39.1,98.7,96.1
456,doryteuthis,pleii,0.46,0.87,GMEX,85,medium,135.9,121.3,320.5,310.2
457,dromalia,alexandri,0.51,0.84,West_USA,26,high,48.1,110,266.1,298.3
458,dromalia,alexandri,0.51,0.84,West_USA,85,high,72.8,109.7,8067.6,20773.6
459,duva,florida,0.34,0.8,East_canada,26,low,110.1,52.4,-20.1,23.3
460,duva,florida,0.34,0.8,East_canada,85,low,258.3,155.8,-62.5,35.8
461,echeneis,naucrates,0.26,0.98,SEUS,26,medium,12.6,10.8,15.2,23.1
462,echeneis,naucrates,0.26,0.98,SEUS,85,medium,115.3,89.9,18.7,14.3
463,echeneis,naucrates,0.26,0.98,GMEX,26,medium,18.5,17.3,5.1,11.8
464,echeneis,naucrates,0.26,0.98,GMEX,85,medium,105.3,83,-55.4,23.6
465,echinarachnius,parma,0.32,0.82,East_canada,26,medium,185.3,177.2,-15.2,79.4
466,echinarachnius,parma,0.32,0.82,East_canada,85,medium,832.9,399.4,-77.8,23.2
467,echinarachnius,parma,0.16,0.89,EBS,26,medium,69.5,56.4,-37.9,59.3
468,echinarachnius,parma,0.16,0.89,EBS,85,low,139.1,68.6,-98.5,2.9
469,elassochirus,cavimanus,0.21,0.91,EBS,26,low,60,41.7,-44.6,48.9
470,elassochirus,cavimanus,0.21,0.91,EBS,85,low,150.2,63.3,-98.3,3.9
471,elassochirus,tenuimanus,0.27,0.9,EBS,26,medium,180.9,131.7,0.3,78.6
472,elassochirus,tenuimanus,0.27,0.9,EBS,85,low,399.5,116.9,-65.2,57.6
473,eleginus,gracilis,0.53,0.96,EBS,26,low,28,26.5,10.7,41.7
474,eleginus,gracilis,0.53,0.96,EBS,85,high,353.5,1106.8,-17,108.7
475,embassichthys,bathybius,0.7,0.96,GOA,26,high,311.4,275.7,-7.5,15.2
476,embassichthys,bathybius,0.7,0.96,GOA,85,medium,1343,367.1,83.6,69.7
477,enchelyopus,cimbrius,0.29,0.83,East_canada,26,low,85.7,48.6,8.4,18.4
478,enchelyopus,cimbrius,0.29,0.83,East_canada,85,low,304.2,89.2,11.5,26.4
479,engraulis,eurystole,0.21,0.8,NEUS,26,medium,172,197.5,160.1,444.7
480,engraulis,eurystole,0.21,0.8,NEUS,85,high,544.1,605.2,3270,3332.8
481,engraulis,eurystole,0.21,0.8,GMEX,26,medium,112.3,90.9,-69.4,26.7
482,engraulis,eurystole,0.21,0.8,GMEX,85,high,246.8,163.3,-98.1,3.2
483,engraulis,mordax,0.33,0.89,West_USA,26,low,236.5,123.8,35,21
484,engraulis,mordax,0.33,0.89,West_USA,85,low,1221.3,410.1,138.4,90.7
485,engyophrys,senta,0.33,0.9,GMEX,26,low,44.4,42.6,3.8,25.1
486,engyophrys,senta,0.33,0.9,GMEX,85,medium,135.6,109.3,-59.7,34.4
487,eopsetta,jordani,0.61,0.95,GOA,26,low,347.1,260.1,20.9,16.7
488,eopsetta,jordani,0.61,0.95,GOA,85,low,1333.3,233.6,101.2,68.1
489,eptatretus,deani,0.38,0.92,West_USA,26,medium,180.3,136.1,12.8,23.7
490,eptatretus,deani,0.38,0.92,West_USA,85,medium,751.7,322.4,103.5,63
491,eptatretus,stoutii,0.26,0.86,GOA,26,medium,300.2,230.9,19.7,42.1
492,eptatretus,stoutii,0.26,0.86,GOA,85,medium,1383.4,389.7,68,69.1
493,equetus,lanceolatus,0.54,0.96,SEUS,26,high,89.1,116.3,321.5,389.9
494,equetus,lanceolatus,0.54,0.96,SEUS,85,low,414,210.7,11854.3,14511.5
495,equetus,lanceolatus,0.54,0.96,GMEX,26,medium,30.1,33,36.7,46.3
496,equetus,lanceolatus,0.54,0.96,GMEX,85,low,141.3,81.8,15.9,90.7
497,erimacrus,isenbeckii,0.35,0.97,EBS,26,medium,104.1,70.3,-35.1,72.8
498,erimacrus,isenbeckii,0.35,0.97,EBS,85,low,192.3,116.7,-99,2.3
499,etropus,crossotus,0.46,0.97,SEUS,26,low,11.9,8.7,16.6,17.6
500,etropus,crossotus,0.46,0.97,SEUS,85,low,76.4,48.8,36.8,28.5
501,etropus,crossotus,0.46,0.97,GMEX,26,low,17.6,13.2,-5.8,6.8
502,etropus,crossotus,0.46,0.97,GMEX,85,high,40.6,31.3,-54.1,14.7
503,etropus,cyclosquamus,0.34,0.95,SEUS,26,medium,16,10.7,14.5,20.1
504,etropus,cyclosquamus,0.34,0.95,SEUS,85,low,82.5,62.1,1.6,28.4
505,etropus,cyclosquamus,0.34,0.95,GMEX,26,medium,20.6,19.3,-8.3,9.1
506,etropus,cyclosquamus,0.34,0.95,GMEX,85,medium,53.3,44.4,-59.6,11.8
507,etropus,microstomus,0.3,0.81,SEUS,26,high,92,123.7,19.2,44.1
508,etropus,microstomus,0.3,0.81,SEUS,85,low,509,202,255.4,170.1
509,etropus,microstomus,0.3,0.81,GMEX,26,medium,13.2,9.6,-12.9,8
510,etropus,microstomus,0.3,0.81,GMEX,85,medium,30.9,20,-22.8,16
511,etrumeus,teres,0.27,0.8,SEUS,26,low,160.9,142.1,20.6,83.7
512,etrumeus,teres,0.27,0.8,SEUS,85,low,655,273.5,298.5,268.3
513,etrumeus,teres,0.27,0.8,GMEX,26,low,38.1,31.3,-39.3,18.5
514,etrumeus,teres,0.27,0.8,GMEX,85,low,76.4,32.4,-90.6,4.4
515,eualus,fabricii,0.38,0.84,East_canada,26,low,84.6,64.7,-26.3,28.5
516,eualus,fabricii,0.38,0.84,East_canada,85,medium,189.1,95.7,-79.2,24.7
517,eualus,gaimardii,0.51,0.86,East_canada,26,low,80.2,68.6,-29.1,29.5
518,eualus,gaimardii,0.51,0.86,East_canada,85,medium,184.7,89.8,-81.6,22.5
519,eualus,macilentus,0.57,0.89,East_canada,26,low,115.7,85.1,-29.7,33.1
520,eualus,macilentus,0.57,0.89,East_canada,85,low,280.9,147.4,-77.3,31.1
521,eualus,macrophthalmus,0.34,0.91,GOA,26,low,250,204,-1.2,12.5
522,eualus,macrophthalmus,0.34,0.91,GOA,85,high,1027.3,414.8,8,31
523,eucinostomus,argenteus,0.27,0.86,SEUS,26,high,4.3,7.2,1398.8,2458.5
524,eucinostomus,argenteus,0.27,0.86,SEUS,85,medium,153.4,145.5,32183.4,52135.5
525,eucinostomus,argenteus,0.27,0.86,GMEX,26,medium,42.2,33.6,146.4,146.2
526,eucinostomus,argenteus,0.27,0.86,GMEX,85,low,194.5,106.4,301.4,476.7
527,eucinostomus,gula,0.39,0.86,SEUS,26,high,8.9,17.4,754.7,810.3
528,eucinostomus,gula,0.39,0.86,SEUS,85,low,40.9,27.2,13753.8,14891.1
529,eucinostomus,gula,0.39,0.86,GMEX,26,low,28.3,18,288.6,305.3
530,eucinostomus,gula,0.39,0.86,GMEX,85,medium,59.2,36.9,3470.9,2738.8
531,eumesogrammus,praecisus,0.46,0.9,East_canada,26,low,159.6,127.6,-30.8,27.9
532,eumesogrammus,praecisus,0.46,0.9,East_canada,85,low,444.8,196.4,-69.1,40.8
533,eumicrotremus,orbis,0.25,0.91,EBS,26,low,67.1,40.9,-37.1,33.9
534,eumicrotremus,orbis,0.25,0.91,EBS,85,low,193.6,77.6,-91.8,14.2
535,eumicrotremus,spinosus,0.45,0.86,East_canada,26,low,104.1,73.6,-27,31.3
536,eumicrotremus,spinosus,0.45,0.86,East_canada,85,low,205.3,110.4,-79.1,25.5
537,eunoe,depressa,0.21,0.94,EBS,26,low,68.3,46.9,-37.5,53.6
538,eunoe,depressa,0.21,0.94,EBS,85,low,143.9,69.6,-97.1,6
539,eunoe,nodosa,0.28,0.94,EBS,26,low,58.6,44.9,-41.8,45.4
540,eunoe,nodosa,0.28,0.94,EBS,85,low,159.5,66.8,-96.6,7.5
541,euspira,pallida,0.29,0.91,EBS,26,low,24.4,12.7,-40.7,36.3
542,euspira,pallida,0.29,0.91,EBS,85,medium,117.5,52.3,-95.7,6.1
543,evasterias,echinosoma,0.36,0.96,EBS,26,medium,147.5,124,-3.6,139.7
544,evasterias,echinosoma,0.36,0.96,EBS,85,low,284.9,125.9,-98.9,2.5
545,fanellia,compressa,0.33,0.88,EBS,26,medium,238,137.5,32.4,392.4
546,fanellia,compressa,0.33,0.88,EBS,85,medium,367.9,176.1,-99.9,0.3
547,farfantepenaeus,aztecus,0.7,0.95,SEUS,26,low,13.4,13.3,8.2,18.5
548,farfantepenaeus,aztecus,0.7,0.95,SEUS,85,medium,175.6,142.5,-19.8,16
549,farfantepenaeus,aztecus,0.7,0.95,GMEX,26,medium,20.2,20.1,-3.4,5.4
550,farfantepenaeus,aztecus,0.7,0.95,GMEX,85,low,33.3,25.3,0.7,11
551,farfantepenaeus,duorarum,0.4,0.97,SEUS,26,medium,19.1,16.8,12.1,31.4
552,farfantepenaeus,duorarum,0.4,0.97,SEUS,85,low,164,104.6,-57.2,19.7
553,farfantepenaeus,duorarum,0.4,0.97,GMEX,26,medium,26.5,18.9,-12.1,14.8
554,farfantepenaeus,duorarum,0.4,0.97,GMEX,85,medium,53.1,30.4,-68.4,9.3
555,fowlerichthys,radiosus,0.4,0.97,SEUS,26,low,21.5,16.7,42.7,26
556,fowlerichthys,radiosus,0.4,0.97,SEUS,85,high,98.2,157.5,245.8,100.6
557,fowlerichthys,radiosus,0.4,0.97,GMEX,26,medium,6.4,4.9,4.1,5.8
558,fowlerichthys,radiosus,0.4,0.97,GMEX,85,high,14.8,8.2,36.7,13.2
559,fusitriton,oregonensis,0.28,0.39,GOA,26,low,123.9,79,3.9,7.7
560,fusitriton,oregonensis,0.28,0.39,GOA,85,low,400.9,127.7,10.6,11.4
561,gadus,macrocephalus,0.49,0.14,EBS,26,low,44.9,28.6,-8.1,7
562,gadus,macrocephalus,0.49,0.14,EBS,85,low,116.5,54.7,-47.6,15
563,gadus,morhua,0.45,0.89,East_canada,26,low,111.6,67.8,-1.7,9.5
564,gadus,morhua,0.45,0.89,East_canada,85,medium,428.2,213.5,-34,18.1
565,gadus,ogac,0.48,0.94,East_canada,26,medium,129,128.7,-36.9,24.2
566,gadus,ogac,0.48,0.94,East_canada,85,medium,556.1,253.2,-65.7,53
567,genyonemus,lineatus,0.54,0.92,West_USA,26,medium,66.7,47.7,126.1,142.7
568,genyonemus,lineatus,0.54,0.92,West_USA,85,medium,392.1,276.7,1341.8,1895.5
569,gersemia,rubiformis,0.27,85,East_canada,26,low,126.3,75.4,-13.3,21.6
570,gersemia,rubiformis,0.27,85,East_canada,85,low,333.5,118.8,-57.5,40.9
571,gersemia,rubiformis,0.32,0.93,EBS,26,low,42.4,38.2,-13.3,24.4
572,gersemia,rubiformis,0.32,0.93,EBS,85,high,205.4,227,-70.2,18.9
573,gibbesia,neglecta,0.44,0.94,SEUS,26,low,15.2,10.9,87.7,87.5
574,gibbesia,neglecta,0.44,0.94,SEUS,85,low,42.6,15.9,589.7,448.8
575,gibbesia,neglecta,0.44,0.94,GMEX,26,medium,17,9.5,28.8,19.1
576,gibbesia,neglecta,0.44,0.94,GMEX,85,high,52.2,27.1,150.9,60.7
577,glebocarcinus,oregonensis,0.29,0.93,EBS,26,low,150.4,99.8,2,89.6
578,glebocarcinus,oregonensis,0.29,0.93,EBS,85,low,333.5,90.9,-86,22.3
579,glyptocephalus,cynoglossus,0.39,0.87,East_canada,26,low,117.5,63.8,10.7,10.8
580,glyptocephalus,cynoglossus,0.39,0.87,East_canada,85,low,398.6,183,9,22.4
581,glyptocephalus,zachirus,0.37,0.15,GOA,26,low,188.8,114.7,9.7,6.7
582,glyptocephalus,zachirus,0.37,0.15,GOA,85,low,654.5,93.9,15.3,18.8
583,gonatus,onyx,0.3,0.95,GOA,26,low,347,255.9,14.2,18.4
584,gonatus,onyx,0.3,0.95,GOA,85,low,1120,275,51.1,36.6
585,gorgonocephalus,eucnemis,0.22,0.43,GOA,26,low,384.6,239.8,12,17.9
586,gorgonocephalus,eucnemis,0.22,0.43,GOA,85,low,998,320.3,138.3,128.2
587,gymnachirus,texae,0.35,0.9,GMEX,26,low,2.3,1.6,-18.4,32.6
588,gymnachirus,texae,0.35,0.9,GMEX,85,low,7.2,5,-93.5,7.8
589,gymnelus,viridis,0.35,0.84,East_canada,26,low,95.4,74.2,-25.8,27.2
590,gymnelus,viridis,0.35,0.84,East_canada,85,low,242.7,142.9,-75.3,28
591,gymnocanthus,galeatus,0.22,0.96,EBS,26,low,107.2,80.6,-39.3,43.2
592,gymnocanthus,galeatus,0.22,0.96,EBS,85,low,305,84.6,-95,9.8
593,gymnocanthus,pistilliger,0.49,0.96,EBS,26,high,88.5,62.9,-2.3,124.6
594,gymnocanthus,pistilliger,0.49,0.96,EBS,85,high,214.5,95.1,-99,2.2
595,gymnothorax,saxicola,0.37,0.88,SEUS,26,high,22.8,36.3,875,1409.1
596,gymnothorax,saxicola,0.37,0.88,SEUS,85,medium,252.4,171,21903.1,30057.6
597,gymnothorax,saxicola,0.37,0.88,GMEX,26,low,34.7,31.7,102.2,95.5
598,gymnothorax,saxicola,0.37,0.88,GMEX,85,low,101.6,57.2,723.2,455
599,gymnura,altavela,0.45,0.96,SEUS,26,medium,27.4,28.3,-6.4,15.7
600,gymnura,altavela,0.45,0.96,SEUS,85,low,503.1,255.2,-52.6,23.3
601,gymnura,altavela,0.45,0.96,GMEX,26,medium,72,56.9,-44.9,24.8
602,gymnura,altavela,0.45,0.96,GMEX,85,high,168.1,133.9,-98.3,3
603,gymnura,micrura,0.55,0.97,SEUS,26,low,20.7,14.6,3.3,7.5
604,gymnura,micrura,0.55,0.97,SEUS,85,medium,284.9,194.2,28.5,44.9
605,gymnura,micrura,0.55,0.97,GMEX,26,low,26.6,22.7,-9.6,9.8
606,gymnura,micrura,0.55,0.97,GMEX,85,medium,64.5,38.1,-64.3,12.6
607,gymothorax,igromargiatus,0.24,0.89,SEUS,26,low,52.3,39.6,66.9,36.7
608,gymothorax,igromargiatus,0.24,0.89,SEUS,85,low,257.7,108.5,282.4,139.6
609,gymothorax,igromargiatus,0.24,0.89,GMEX,26,medium,21.8,23.2,10.5,12.2
610,gymothorax,igromargiatus,0.24,0.89,GMEX,85,low,65.4,39.8,-10.3,29.7
611,haemulon,aurolineatum,0.42,0.93,SEUS,26,medium,68.7,73.9,254.7,270.3
